timestamp,price,rsi,5EMA,13EMA
1609631400000,32025.79000000,59.232202487923566,31994.346804814173,31951.789440180914
1609631460000,32135.55000000,66.60992467446657,32041.414536542783,31978.0409487265
1609631520000,32112.84000000,64.02806208419625,32065.223024361854,31997.297956051283
1609631580000,32094.81000000,61.9742132289843,32075.08534957457,32011.228248043957
1609631640000,32100.04000000,62.3514697839999,32083.403566383047,32023.915641180534
1609631700000,32149.97000000,65.8362011375008,32105.5923775887,32041.92340672617
1609631760000,32134.34000000,63.84404325030183,32115.174918392466,32055.12577719386
1609631820000,32208.09000000,68.66252984563116,32146.146612261644,32076.97780902331
1609631880000,32180.28000000,65.13732495772496,32157.524408174428,32091.735264877123
1609631940000,32178.33000000,64.88577031705127,32164.459605449618,32104.105941323247
1609632000000,32216.22000000,67.51125801046747,32181.713070299746,32120.122235419927
1609632060000,32187.28000000,63.59977858667565,32183.568713533165,32129.71620178851
1609632120000,32148.99000000,58.74976963466884,32172.042475688777,32132.46960153301
1609632180000,32217.01000000,64.00155134569911,32187.031650459183,32144.546801314005
1609632240000,32164.46000000,57.87147841337372,32179.507766972787,32147.391543983435
1609632300000,32102.71000000,51.615384849319014,32153.908511315192,32141.008466271516
1609632360000,32093.04000000,50.691228043561274,32133.61900754346,32134.155828232728
1609632420000,32017.39000000,44.04692765041596,32094.876005028975,32117.474995628054
1609632480000,32127.51000000,53.58420101307688,32105.75400335265,32118.90856768119
1609632540000,32190.01000000,57.96368943362222,32133.83933556843,32129.065915155305
1609632600000,32206.68000000,59.072887050030474,32158.119557045622,32140.15364156169
1609632660000,32224.10000000,60.25316454642121,32180.113038030413,32152.145978481447
1609632720000,32199.11000000,57.68321122556278,32186.445358686942,32158.85512441267
1609632780000,32146.78000000,52.62170844485864,32173.223572457962,32157.13010663943
1609632840000,32105.84000000,48.99926663935474,32150.76238163864,32149.802948548084
1609632900000,32144.64000000,52.34732002381875,32148.721587759093,32149.065384469784
1609632960000,32128.87000000,50.88517033271511,32142.104391839395,32146.18032954553
1609633020000,32044.42000000,43.82560518573028,32109.54292789293,32131.643139610453
1609633080000,32071.14000000,46.36124125118708,32096.74195192862,32122.999833951817
1609633140000,32083.97000000,47.58467838712703,32092.48463461908,32117.42414338727
1609633200000,32080.18000000,47.241888950013106,32088.383089746054,32112.103551474804
1609633260000,32107.27000000,50.01371294380073,32094.67872649737,32111.413044121262
1609633320000,32124.42000000,51.742267636086005,32104.592484331577,32113.27118067537
1609633380000,32044.17000000,44.06372116585889,32084.451656221052,32103.39958343603
1609633440000,32028.48000000,42.728617506766156,32065.7944374807,32092.69678580231
1609633500000,32099.11000000,50.06364285828511,32076.899624987134,32093.61295925912
1609633560000,32127.04000000,52.64639884617049,32093.613083324755,32098.38825079353
1609633620000,32142.20000000,54.03602210899494,32109.808722216505,32104.64707210874
1609633680000,32159.99000000,55.67966887821999,32126.535814811003,32112.553204664633
1609633740000,32199.99000000,59.211480654679704,32151.020543207334,32125.04417542683
1609633800000,32269.85000000,64.52806499021486,32190.63036213822,32145.730721794425
1609633860000,32388.41000000,71.35261530204401,32256.55690809215,32180.399190109507
1609633920000,32441.68000000,73.7923696662291,32318.264605394765,32217.72502009386
1609633980000,32384.49000000,67.17769755219499,32340.339736929844,32241.54858865188
1609634040000,32402.33000000,68.13718745713219,32361.00315795323,32264.51736170161
1609634100000,32397.34000000,67.54243199414128,32373.115438635486,32283.492024315667
1609634160000,32342.27000000,61.19405533786123,32362.83362575699,32291.888877984857
1609634220000,32378.62000000,63.624412125460516,32368.09575050466,32304.279038272733
1609634280000,32408.17000000,65.51517701508222,32381.453833669773,32319.12060423377
1609634340000,32391.45000000,63.50381252281788,32384.785889113184,32329.453375057517
1609634400000,32387.50000000,63.01164249055363,32385.69059274212,32337.7457500493
1609634460000,32344.09000000,57.71744834431299,32371.823728494746,32338.652071470828
1609634520000,32396.02000000,61.84715506776928,32379.88915232983,32346.847489832136
1609634580000,32393.71000000,61.55913095764992,32384.49610155322,32353.54213414183
1609634640000,32412.00000000,63.027302047982715,32393.664067702146,32361.893257835854
1609634700000,32368.04000000,57.35709069588489,32385.122711801432,32362.771363859305
1609634760000,32397.08000000,59.92215636568364,32389.10847453429,32367.67259759369
1609634820000,32445.72000000,63.84500544037287,32407.97898302286,32378.822226508877
1609634880000,32443.00000000,63.470867536551424,32419.65265534857,32387.99047986475
1609634940000,32398.51000000,57.53213884255638,32412.605103565715,32389.493268455502
1609635000000,32437.57000000,60.983729764839,32420.926735710476,32396.36137296186
1609635060000,32490.45000000,65.11719441356281,32444.101157140318,32409.80260539588
1609635120000,32463.85000000,61.5828941294951,32450.68410476021,32417.523661767897
1609635180000,32432.01000000,57.55596305746816,32444.459403173474,32419.593138658198
1609635240000,32445.95000000,58.82541915450234,32444.956268782316,32423.35840456417
1609635300000,32436.00000000,57.50339473717324,32441.970845854878,32425.16434676929
1609635360000,32448.31000000,58.73887321806749,32444.083897236585,32428.47086865939
1609635420000,32474.23000000,61.2907369381554,32454.132598157725,32435.007887422336
1609635480000,32456.79000000,58.661870815946926,32455.018398771816,32438.119617790573
1609635540000,32447.94000000,57.318336758918065,32452.658932514543,32439.522529534777
1609635600000,32357.29000000,45.75803102152954,32420.86928834303,32427.775025315525
1609635660000,32411.26000000,51.96909247066971,32417.666192228688,32425.415735984734
1609635720000,32363.17000000,46.82407739880617,32399.500794819123,32416.523487986913
1609635780000,32290.74000000,40.345431099925456,32363.247196546083,32398.554418274496
1609635840000,32323.98000000,44.16363726519183,32350.158131030723,32387.900929949566
1609635900000,32370.09000000,49.036597514622024,32356.802087353815,32385.356511385344
1609635960000,32399.99000000,51.96413277101913,32371.198058235877,32387.447009758867
1609636020000,32439.34000000,55.5805238019868,32393.912038823917,32394.86029407903
1609636080000,32397.62000000,51.181027149249466,32395.148025882612,32395.254537782024
1609636140000,32380.01000000,49.403414776784714,32390.102017255074,32393.076746670307
1609636200000,32401.42000000,51.60420035623024,32393.87467817005,32394.26864000312
1609636260000,32456.74000000,56.82931315505609,32414.829785446702,32403.193120002674
1609636320000,32445.98000000,55.57252263851093,32425.2131902978,32409.305531430862
